reviewid,customerid,productid,reviewdate,rating,reviewtext
1314,218,12,2023-05-07,5,Great value for money. Highly recommend.
1315,143,12,2023-07-14,5,Fast delivery and great packaging.
1316,252,15,2024-10-28,4,Super comfortable jeans. Bought in two colours.
1317,459,20,2024-11-23,5,Excellent product. Myntra never disappoints.
1318,305,16,2024-03-25,5,Amazing quality! Totally worth the price.
1319,34,40,2024-04-11,5,Excellent product. Myntra never disappoints.
1320,169,37,2024-11-09,5,Excellent product. Myntra never disappoints.
1321,414,1,2024-10-18,2,Customer support was unhelpful when I raised an issue.
1322,281,32,2024-12-01,5,Delivery was quick and product is exactly as described.
1323,251,14,2023-07-06,4,Delivery was quick and product is exactly as described.
1324,51,28,2024-10-03,4,Great value for money. Highly recommend.
1325,165,7,2023-09-03,5,Fast delivery and great packaging.
1326,16,31,2023-04-20,2,Delivery was very late. Poor experience.
1327,445,17,2023-07-02,4,Great value for money. Highly recommend.
1328,365,47,2023-10-23,4,Delivery was quick and product is exactly as described.
1329,93,15,2023-05-10,5,Loved the fabric and the fit. Will buy again.
1330,386,21,2024-06-20,5,Amazing quality! Totally worth the price.
1331,156,14,2024-08-12,5,Super comfortable jeans. Bought in two colours.
1332,500,23,2024-06-23,5,Fast delivery and great packaging.
1333,87,8,2024-09-24,5,Super comfortable jeans. Bought in two colours.
1334,96,9,2024-07-21,3,Decent product but could be better for the price.
1335,108,29,2024-09-02,4,Amazing quality! Totally worth the price.
1336,432,35,2024-04-04,1,Delivery was very late. Poor experience.
1337,277,1,2023-09-10,4,Delivery was quick and product is exactly as described.
1338,279,8,2023-08-25,3,Okay product. Expected more based on the description.
1339,137,26,2024-08-11,2,The color faded after first wash. Very disappointing.
1340,452,1,2024-05-14,3,Okay product. Expected more based on the description.
1341,266,9,2024-06-03,1,The color faded after first wash. Very disappointing.
1342,399,33,2023-05-08,5,Excellent product. Myntra never disappoints.
1343,265,21,2023-08-26,1,Material feels cheap. Not worth the price at all.
1344,247,38,2024-05-18,1,Size runs small. Return process is very difficult.
1345,113,30,2023-12-29,5,Loved the fabric and the fit. Will buy again.
1346,453,16,2023-11-25,1,Customer support was unhelpful when I raised an issue.
1347,214,44,2024-02-25,3,Decent product but could be better for the price.
1348,110,49,2024-02-16,5,Amazing quality! Totally worth the price.
1349,368,28,2023-03-12,5,Fast delivery and great packaging.
1350,381,15,2023-12-12,5,Fast delivery and great packaging.
1351,131,44,2023-07-14,1,The color faded after first wash. Very disappointing.
1352,5,50,2024-04-22,1,The jeans are too tight at the waist. Sizing is off.
1353,213,7,2023-01-29,5,Super comfortable jeans. Bought in two colours.
1354,147,24,2023-01-15,5,Delivery was quick and product is exactly as described.
1355,94,18,2024-02-05,5,Amazing quality! Totally worth the price.
1356,478,31,2023-10-04,4,Excellent product. Myntra never disappoints.
1357,394,28,2023-03-04,3,Okay product. Expected more based on the description.
1358,367,15,2023-12-10,5,Loved the fabric and the fit. Will buy again.
1359,417,29,2023-01-25,4,Super comfortable jeans. Bought in two colours.
1360,497,39,2024-11-08,5,Amazing quality! Totally worth the price.
1361,6,35,2023-11-25,1,The color faded after first wash. Very disappointing.
1362,277,48,2024-02-29,2,Received a damaged product. Very unhappy.
1363,381,45,2024-04-02,4,Great value for money. Highly recommend.
1364,95,3,2023-10-29,5,Fast delivery and great packaging.
1365,463,6,2024-01-06,5,Excellent product. Myntra never disappoints.
1366,248,18,2024-03-05,5,Great value for money. Highly recommend.
1367,256,21,2024-10-23,1,Size runs small. Return process is very difficult.
1368,37,15,2023-01-25,5,Delivery was quick and product is exactly as described.
1369,276,4,2024-10-06,5,Fast delivery and great packaging.
1370,402,18,2023-09-18,4,Super comfortable jeans. Bought in two colours.
1371,7,3,2023-02-20,5,Great value for money. Highly recommend.
1372,435,23,2023-09-18,5,Amazing quality! Totally worth the price.
1373,375,35,2023-10-30,4,Super comfortable jeans. Bought in two colours.
1374,459,36,2023-10-16,5,Great value for money. Highly recommend.
1375,162,29,2023-05-18,5,Loved the fabric and the fit. Will buy again.
1376,241,39,2024-12-14,4,Fast delivery and great packaging.
1377,342,7,2023-06-24,4,Fast delivery and great packaging.
1378,31,36,2024-01-17,5,Beautiful design. Exactly as shown in the photo.
1379,124,7,2023-11-12,5,Great value for money. Highly recommend.
1380,398,32,2023-03-14,4,Amazing quality! Totally worth the price.
1381,439,50,2024-05-10,4,Beautiful design. Exactly as shown in the photo.
1382,321,3,2023-04-14,5,Beautiful design. Exactly as shown in the photo.
1383,63,38,2023-09-11,5,Fits perfectly. Very happy with the purchase.
1384,52,27,2024-01-20,4,Super comfortable jeans. Bought in two colours.
1385,188,49,2023-10-17,5,Excellent product. Myntra never disappoints.
1386,350,20,2023-09-15,5,Perfect fit. The material feels premium.
1387,444,6,2023-03-10,2,Material feels cheap. Not worth the price at all.
1388,483,48,2023-10-06,5,Fits perfectly. Very happy with the purchase.
1389,419,46,2024-09-01,5,Excellent product. Myntra never disappoints.
1390,48,46,2024-08-11,3,Material is fine but the colour is slightly different.
1391,157,2,2024-08-12,5,Excellent product. Myntra never disappoints.
1392,131,26,2024-07-11,5,Delivery was quick and product is exactly as described.
1393,380,33,2024-07-27,3,Material is fine but the colour is slightly different.
1394,245,26,2023-09-07,4,Amazing quality! Totally worth the price.
1395,241,14,2024-08-08,5,Super comfortable jeans. Bought in two colours.
1396,180,8,2023-06-01,4,Amazing quality! Totally worth the price.
1397,293,29,2024-07-05,5,Perfect fit. The material feels premium.
1398,487,26,2024-12-11,4,Beautiful design. Exactly as shown in the photo.
1399,458,24,2023-07-14,5,Delivery was quick and product is exactly as described.
1400,313,14,2024-10-26,3,Okay product. Expected more based on the description.
